# Collection of Eggs for Easter 2025
# Field order: Chocolatier, volume, weight, chocolate, wrapper, filling
Cadbury,3278.765,9836,1,2,0
Carob Creations,3567.094,10701,0,0,0
Carob Creations,885.124,885,1,1,2
Pink Lady,76.345,76,1,2,2
Cadbury,1730.49,1730,1,2,2
Carob Creations,1782.787,3566,1,2,1
Lindt,558.885,1677,1,1,0
Mars,577.922,1156,0,2,1
Ferrero,1691.576,1692,0,2,2
Mars,1502.349,1502,0,1,2
Pink Lady,1396.777,1397,1,0,2
Lindt,1350.761,4052,1,0,0
Pink Lady,4097.161,8194,0,0,1
Carob Creations,3613.649,3614,1,1,2
Mars,4062.554,8125,0,1,1
Ferrero,2418.351,2418,1,2,2
Carob Creations,1962.548,1963,0,2,2
Darrell Lea,2530.503,7592,2,2,0
Cadbury,3981.38,3981,2,1,2
Mars,762.802,763,0,1,2
Pink Lady,1314.644,2629,0,2,1
Ferrero,2733.655,2734,1,1,2
Darrell Lea,3644.186,3644,0,1,2
Lindt,3779.008,7558,1,0,1
Kinder,2191.133,6573,0,0,0
Darrell Lea,1565.284,1565,1,1,2
Pink Lady,1819.294,3639,2,0,1
Carob Creations,2145.783,2146,2,1,2
Carob Creations,1151.959,3456,1,0,0
Kinder,404.54,809,2,2,1
Carob Creations,1603.346,3207,1,1,1
Mars,4037.641,4038,2,0,2
Pink Lady,98.216,196,2,1,1
Carob Creations,3490.761,3491,2,0,2
Cadbury,2045.746,2046,1,1,2
Cadbury,351.437,703,2,2,1
Pink Lady,939.63,1879,1,2,1
Darrell Lea,1222.148,2444,0,2,1
Pink Lady,2163.689,4327,1,0,1
Lindt,3385.786,10157,0,0,0
Lindt,3316.61,6633,2,0,1
Darrell Lea,2934.327,8803,0,1,0
Darrell Lea,4164.826,12494,0,1,0
Darrell Lea,1188.796,1189,0,0,2
Ferrero,1204.427,1204,2,2,2
Darrell Lea,3899.462,7799,0,0,1
Carob Creations,963.465,2890,1,0,0
Ferrero,1002.714,3008,0,2,0
Cadbury,2480.523,7442,0,0,0
Ferrero,1579.567,4739,0,2,0
Lindt,3149.329,3149,1,2,2
Cadbury,209.493,419,1,0,1
Cadbury,2325.043,6975,2,0,0
Ferrero,1686.743,1687,0,2,2
Lindt,845.642,846,0,1,2
Carob Creations,3255.102,6510,2,1,1
Lindt,3589.634,3590,2,0,2
Darrell Lea,1152.978,2306,1,1,1
Ferrero,3791.534,3792,0,2,2
Darrell Lea,1985.631,3971,2,2,1
Carob Creations,1943.91,5832,2,0,0
Carob Creations,493.434,493,1,0,2
Carob Creations,330.238,330,0,1,2
Lindt,2662.049,7986,0,2,0
Darrell Lea,2919.159,2919,0,2,2
Ferrero,365.905,732,2,1,1
Darrell Lea,1111.741,3335,2,0,0
Carob Creations,3326.725,6653,0,1,1
Cadbury,2774.03,2774,2,1,2
Ferrero,3267.481,9802,1,1,0
Mars,1388.169,1388,1,2,2
Mars,3764.781,7530,0,1,1
Mars,1091.5,2183,0,1,1
Lindt,4036.332,12109,0,0,0
Mars,1699.128,1699,2,1,2
Cadbury,2091.864,6276,0,2,0
Cadbury,2329.748,4659,1,0,1
Carob Creations,569.611,1139,2,0,1
Lindt,2064.429,2064,1,1,2
Lindt,340.794,682,0,2,1
Ferrero,1865.605,1866,2,1,2
Lindt,2851.197,5702,2,2,1
Kinder,3259.115,6518,0,1,1
Carob Creations,2031.357,2031,2,1,2
Kinder,41.914,42,1,2,2
Lindt,584.289,584,1,0,2
Cadbury,1783.746,1784,1,0,2
Carob Creations,946.298,1893,2,0,1
Lindt,37.72,75,1,2,1
Kinder,2454.364,2454,2,2,2
Carob Creations,1568.845,3138,0,1,1
Carob Creations,1160.612,3482,0,2,0
Kinder,1322.675,2645,2,0,1
Cadbury,527.182,1054,1,2,1
Lindt,173.906,348,1,2,1
Ferrero,1032.99,3099,0,0,0
Darrell Lea,1593.655,1594,1,0,2
Darrell Lea,2756.019,2756,1,1,2
Darrell Lea,3918.329,7837,1,0,1
Carob Creations,1038.243,2076,2,2,1
Carob Creations,2918.779,5838,2,1,1
Carob Creations,317.231,317,2,0,2
Kinder,3623.717,3624,2,0,2
Kinder,1980.952,1981,0,0,2
Cadbury,2877.064,8631,0,1,0
Mars,3626.254,10879,0,1,0
Lindt,337.972,676,0,0,1
Kinder,3282.587,3283,1,2,2
Carob Creations,1383.763,4151,2,2,0
Pink Lady,3280.791,6562,0,2,1
Mars,349.563,350,1,0,2
Mars,643.031,1286,0,1,1
Darrell Lea,1097.942,3294,2,1,0
Carob Creations,4104.559,4105,0,1,2
Darrell Lea,3417.018,10251,2,2,0
Pink Lady,3475.792,10427,2,1,0
Mars,283.507,567,2,1,1
Mars,1747.114,1747,1,2,2
Carob Creations,2653.284,7960,0,2,0
Darrell Lea,2568.644,5137,0,1,1
Carob Creations,2007.099,6021,0,0,0
Ferrero,1705.751,3412,0,1,1
Pink Lady,2433.218,2433,1,0,2
Cadbury,3226.871,9681,0,1,0
Lindt,409.567,819,1,1,1
Ferrero,3493.748,6987,0,0,1
Pink Lady,2905.201,8716,1,0,0
Ferrero,3290.613,3291,2,2,2
Ferrero,119.378,358,2,0,0
Darrell Lea,1334.597,4004,1,2,0
Pink Lady,3234.306,3234,1,0,2
Mars,1849.246,5548,2,2,0
Kinder,156.162,156,0,2,2
Pink Lady,2890.379,5781,0,0,1
Pink Lady,2050.687,2051,1,0,2
Mars,889.2,2668,1,0,0
Pink Lady,373.113,373,0,2,2
Darrell Lea,2467.077,4934,2,1,1
Kinder,3451.21,10354,2,2,0
Ferrero,3533.387,10600,2,0,0
Ferrero,2336.368,4673,2,0,1
Lindt,3617.508,3618,0,1,2
Kinder,3563.071,3563,0,2,2
Darrell Lea,419.995,420,2,1,2
Darrell Lea,2715.166,8145,0,2,0
Kinder,2916.806,2917,2,2,2
Cadbury,1266.027,1266,0,0,2
Kinder,926.374,2779,0,1,0
Kinder,1999.998,4000,2,0,1
Pink Lady,928.523,1857,1,1,1
Carob Creations,3516.528,3517,0,2,2
Darrell Lea,146.975,294,0,2,1
Kinder,2016.401,6049,1,1,0
Ferrero,3679.02,3679,2,2,2
Kinder,1383.38,2767,2,2,1
Kinder,1173.173,3520,2,1,0
Pink Lady,3578.765,7158,2,2,1
Kinder,204.19,613,0,2,0
Ferrero,474.577,475,1,2,2
Kinder,884.305,2653,0,2,0
Lindt,2020.239,2020,0,1,2
Pink Lady,334.618,669,0,0,1
Lindt,1477.598,1478,2,2,2
Darrell Lea,1740.04,5220,2,0,0
Ferrero,2101.468,6304,0,2,0
Kinder,3619.951,7240,1,0,1
Mars,2085.956,6258,0,2,0
Darrell Lea,1892.689,5678,1,1,0
Cadbury,2776.702,5553,2,2,1
Lindt,3197.094,3197,1,2,2
Lindt,620.488,620,1,1,2
Mars,1668.94,1669,0,0,2
Cadbury,412.795,413,1,2,2
Lindt,736.412,1473,0,2,1
Pink Lady,373.826,1121,1,1,0
Lindt,1923.269,3847,0,2,1
Pink Lady,1925.597,5777,1,1,0
Carob Creations,1600.879,1601,1,1,2
Mars,2841.734,2842,1,2,2
Kinder,765.56,766,0,1,2
Kinder,282.479,282,0,0,2
Ferrero,750.899,751,2,2,2
Cadbury,355.068,1065,1,0,0
Carob Creations,2234.582,2235,0,1,2
Ferrero,743.637,744,2,0,2
Lindt,1333.398,2667,1,1,1
Darrell Lea,3520.971,7042,0,2,1
Darrell Lea,3892.553,7785,1,2,1
Lindt,1098.067,3294,1,0,0
Kinder,210.479,421,0,1,1
Pink Lady,3869.25,11608,1,0,0
Lindt,3906.11,7812,2,0,1
Cadbury,2792.344,2792,2,0,2
Carob Creations,3841.58,11525,1,0,0
Mars,724.395,1449,0,1,1
Cadbury,3510.278,3510,0,1,2
Darrell Lea,1320.621,3962,1,0,0
Darrell Lea,1822.704,3645,0,2,1
Pink Lady,1340.317,2681,2,0,1
Ferrero,1145.754,1146,0,0,2
Mars,1585.131,3170,1,2,1
Ferrero,1516.397,1516,2,2,2
Pink Lady,1141.314,2283,1,0,1
Ferrero,646.39,1293,2,2,1
Carob Creations,1904.429,5713,0,1,0
Pink Lady,2930.847,5862,2,0,1
Cadbury,3478.914,6958,1,2,1
Mars,3775.563,7551,1,0,1
Mars,728.79,1458,0,1,1
Carob Creations,249.383,499,1,2,1
Kinder,13.369,27,2,1,1
Darrell Lea,3529.482,7059,2,1,1
Ferrero,3081.802,6164,0,1,1
Mars,1415.363,1415,1,0,2
Kinder,3586.424,10759,0,2,0
Mars,1394.258,4183,2,2,0
Cadbury,476.402,1429,0,2,0
Cadbury,1943.153,3886,0,2,1
Kinder,899.539,1799,1,1,1
Carob Creations,4096.591,12290,1,1,0
Carob Creations,2971.871,2972,0,2,2
Pink Lady,3484.989,3485,2,2,2
Darrell Lea,3586.807,3587,2,0,2
Cadbury,122.83,123,1,2,2
Lindt,516.317,516,0,2,2
Lindt,319.3,958,0,2,0
Darrell Lea,1801.964,3604,2,2,1
Kinder,433.101,866,2,1,1
Pink Lady,1633.576,4901,1,0,0
Mars,1983.318,3967,2,2,1
Cadbury,44.041,88,1,2,1
Cadbury,577.45,577,2,2,2
Lindt,1050.182,2100,1,1,1
Kinder,778.379,1557,0,1,1
Mars,3032.18,9097,1,1,0
Carob Creations,2292.962,6879,2,1,0
Darrell Lea,3292.13,6584,0,2,1
Darrell Lea,4032.518,8065,2,1,1
Cadbury,3352.331,6705,2,1,1
Pink Lady,3526.113,10578,0,1,0
Lindt,691.332,2074,0,2,0
Darrell Lea,3972.628,3973,0,1,2
Pink Lady,1800.613,1801,0,1,2
Darrell Lea,1999.486,3999,1,1,1
Cadbury,46.837,94,1,2,1
Mars,3787.359,3787,1,1,2
Kinder,1741.202,5224,1,2,0
Ferrero,931.261,931,2,0,2
Lindt,1227.642,1228,2,2,2
Ferrero,3473.62,10421,1,1,0
Mars,3423.539,10271,2,2,0
Cadbury,1775.774,5327,0,2,0
Carob Creations,839.014,1678,2,0,1
Pink Lady,2868.333,2868,1,1,2
Cadbury,2607.887,7824,1,2,0
Lindt,4094.134,4094,2,2,2
Ferrero,1254.187,2508,1,1,1
Lindt,90.153,270,2,1,0
Ferrero,1985.905,1986,2,2,2
Lindt,1433.392,1433,2,1,2
Lindt,1046.279,2093,0,0,1
Ferrero,2755.259,2755,0,0,2
Kinder,2085.071,2085,2,0,2
Cadbury,2744.419,8233,0,1,0
Pink Lady,2186.063,4372,1,0,1
Ferrero,3356.756,3357,2,1,2
Ferrero,1070.456,1070,1,0,2
Pink Lady,3851.786,11555,0,0,0
Carob Creations,3670.318,7341,0,1,1
Cadbury,501.518,1003,2,1,1
Mars,1137.147,1137,0,2,2
Pink Lady,1061.872,2124,1,0,1
Mars,3567.131,3567,1,0,2
Lindt,4072.201,4072,0,0,2
Cadbury,2971.377,8914,1,2,0
Pink Lady,2258.27,4517,2,2,1
Lindt,2958.165,2958,2,1,2
Kinder,2667.136,2667,1,1,2
Carob Creations,3718.919,3719,2,0,2
Ferrero,2297.891,2298,2,2,2
Kinder,2615.814,5232,0,1,1
Pink Lady,446.396,1339,2,2,0
Darrell Lea,3168.229,9505,0,2,0
Pink Lady,2839.014,8517,2,0,0
Lindt,3620.601,7241,1,0,1
Ferrero,2053.519,2054,1,2,2
Mars,780.816,1562,2,0,1
Mars,1004.421,3013,1,0,0
Ferrero,1127.85,2256,0,2,1
Mars,4001.103,4001,0,2,2
Mars,672.063,1344,2,1,1
Mars,2321.905,2322,2,1,2
Ferrero,2000.124,4000,1,0,1
Pink Lady,917.374,1835,0,1,1
Kinder,622.153,1244,2,1,1
Lindt,2363.7,2364,0,0,2
Kinder,2205.726,2206,1,2,2
Mars,363.773,364,2,1,2
Cadbury,2321.396,6964,0,2,0
Carob Creations,674.393,1349,2,0,1
Carob Creations,3163.349,9490,1,0,0
Ferrero,1203.741,3611,1,2,0
Darrell Lea,1028.282,2057,2,0,1
Mars,103.038,103,2,2,2
Pink Lady,1356.502,4070,1,1,0
Cadbury,1182.078,2364,2,1,1
Mars,4088.407,12265,1,1,0
Pink Lady,2713.973,2714,1,2,2
Kinder,403.592,404,2,0,2
Lindt,3491.449,3491,2,2,2
Ferrero,2828.1,5656,1,2,1
Ferrero,2879.35,5759,1,0,1
Mars,2421.324,2421,1,0,2
Cadbury,2896.594,2897,2,1,2
Darrell Lea,1950.791,1951,0,2,2
Kinder,1522.541,4568,1,2,0
Ferrero,1251.055,1251,1,0,2
Mars,499.96,1500,2,1,0
Cadbury,572.303,1717,1,2,0
Lindt,2339.362,4679,2,1,1
Pink Lady,3217.725,9653,2,2,0
Lindt,2892.006,5784,0,0,1
Cadbury,1134.732,1135,0,1,2
Mars,3259.527,6519,2,0,1
Darrell Lea,3208.307,3208,1,0,2
Lindt,2050.254,4101,0,0,1
Darrell Lea,1303.106,3909,0,0,0
Lindt,3262.819,9788,2,1,0
Carob Creations,2212.537,6638,1,2,0
Darrell Lea,504.809,505,0,0,2
Kinder,2380.036,4760,2,0,1
Kinder,715.574,716,0,2,2
Kinder,3170.809,3171,1,1,2
Darrell Lea,1532.088,3064,1,1,1
Carob Creations,9.909,10,0,2,2
Kinder,1415.873,2832,2,0,1
Ferrero,2045.285,6136,1,2,0
Mars,915.177,1830,2,0,1
Cadbury,1052.682,2105,2,0,1
Ferrero,553.321,553,2,0,2
Ferrero,2491.158,2491,2,1,2
Carob Creations,3094.321,6189,1,2,1
Cadbury,1631.247,3262,0,0,1
Cadbury,3239.969,6480,0,2,1
Mars,2176.341,4353,2,2,1
Carob Creations,1569.239,1569,2,1,2
Darrell Lea,1543.97,3088,2,1,1
Mars,14.586,29,1,0,1
Kinder,1946.412,1946,2,2,2
Cadbury,382.618,765,2,1,1
Mars,3890.384,11671,1,0,0
Carob Creations,3893.225,3893,2,2,2
Darrell Lea,688.188,1376,2,2,1
Darrell Lea,4132.203,4132,1,1,2
Mars,3721.549,3722,2,2,2
Pink Lady,1589.715,4769,2,1,0
Pink Lady,3261.596,3262,2,1,2
Carob Creations,2466.209,7399,2,1,0
Kinder,3736.876,3737,1,0,2
Pink Lady,2236.39,4473,1,1,1
Mars,665.578,1997,1,2,0
Mars,3951.008,3951,1,0,2
Mars,2404.124,7212,1,2,0
Ferrero,1828.715,3657,0,1,1
Carob Creations,4038.035,12114,1,1,0
Cadbury,2849.261,2849,2,1,2
Lindt,1750.17,1750,2,0,2
Cadbury,286.041,858,2,2,0
Mars,2320.935,4642,0,2,1
Kinder,3542.239,7084,0,1,1
Lindt,2175.706,4351,2,1,1
Pink Lady,48.988,49,1,0,2
Pink Lady,1549.54,1550,0,1,2
Darrell Lea,2763.142,5526,1,2,1
Ferrero,2160.727,4321,0,0,1
Pink Lady,2570.317,2570,0,1,2
Kinder,1786.093,1786,1,1,2
Darrell Lea,2367.925,2368,2,2,2
Carob Creations,3300.839,3301,0,2,2
Cadbury,4125.919,12378,0,1,0
Cadbury,3240.679,9722,0,1,0
Mars,83.394,167,1,1,1
Darrell Lea,47.261,142,1,0,0
Carob Creations,1084.973,1085,0,2,2
Mars,1652.112,4956,1,2,0
Ferrero,3182.177,6364,2,0,1
Kinder,1813.468,5440,0,0,0
Carob Creations,3796.437,7593,1,1,1
Ferrero,529.978,1590,1,1,0
Carob Creations,1348.839,4047,1,1,0
Cadbury,2601.495,5203,1,0,1
Mars,3137.563,6275,1,1,1
Carob Creations,3906.209,3906,2,1,2
Pink Lady,2659.373,7978,0,2,0
Mars,1183.485,1183,1,0,2
Kinder,2965.812,2966,2,1,2
Kinder,3747.588,3748,2,1,2
Darrell Lea,3057.649,9173,2,0,0
Cadbury,879.089,879,0,2,2
Cadbury,4142.305,8285,0,2,1
Ferrero,1742.006,3484,0,2,1
Carob Creations,3329.271,3329,1,2,2
Lindt,2591.623,7775,2,1,0
Lindt,3197.078,6394,2,0,1
Mars,3010.53,3011,2,1,2
Lindt,3635.313,3635,0,0,2
Darrell Lea,3742.181,7484,2,2,1
Cadbury,67.453,202,1,2,0
Cadbury,2335.701,4671,1,1,1
Mars,1141.08,3423,0,1,0
Pink Lady,3938.726,7877,0,1,1
Kinder,3050.847,3051,2,2,2
Kinder,1005.09,2010,0,2,1
Darrell Lea,758.828,759,0,2,2
Cadbury,592.744,593,0,1,2
Pink Lady,1911.045,5733,1,2,0
Ferrero,3228.269,3228,1,2,2
Carob Creations,2912.645,2913,2,1,2
Ferrero,1492.68,1493,2,2,2
Carob Creations,3170.629,6341,0,1,1
Darrell Lea,1834.304,1834,1,0,2
Mars,1535.129,1535,0,1,2
Kinder,3775.567,7551,2,2,1
Darrell Lea,2667.855,8004,0,0,0
Cadbury,1716.464,1716,1,1,2
Mars,3425.514,6851,1,2,1
Darrell Lea,2849.35,5699,1,0,1
Mars,84.033,252,1,1,0
Cadbury,3829.059,3829,1,1,2
Pink Lady,4170.168,12511,2,0,0
Ferrero,2763.722,2764,0,2,2
Cadbury,31.619,95,1,1,0
Carob Creations,2170.563,2171,0,0,2
Carob Creations,1585.818,3172,0,0,1
Kinder,616.686,1233,2,0,1
Mars,155.005,155,1,0,2
Carob Creations,3293.145,3293,0,2,2
Pink Lady,2038.54,4077,1,1,1
Lindt,2897.388,8692,2,1,0
Darrell Lea,1214.226,2428,1,1,1
Ferrero,1144.951,2290,2,0,1
Mars,3950.179,3950,0,2,2
Carob Creations,970.857,971,1,2,2
Kinder,1477.411,1477,1,0,2
Cadbury,2559.634,2560,2,0,2
Darrell Lea,1024.236,2048,1,1,1
Cadbury,1873.003,1873,0,1,2
Pink Lady,976.723,2930,2,2,0
Pink Lady,1331.916,1332,2,0,2
Cadbury,2732.378,2732,0,1,2
Mars,3379.81,10139,2,1,0
Darrell Lea,3795.772,7592,0,0,1
Lindt,169.707,509,2,2,0
Lindt,3794.455,7589,0,2,1
Ferrero,2177.101,2177,2,1,2
Carob Creations,274.939,550,1,0,1
Ferrero,482.706,1448,0,0,0
Pink Lady,2642.503,7928,0,0,0
Mars,2669.148,5338,0,2,1
Cadbury,1494.396,1494,1,2,2
Kinder,233.44,233,1,1,2
Darrell Lea,1449.707,2899,1,2,1
Ferrero,338.739,1016,1,2,0
Kinder,3622.995,3623,2,1,2
Darrell Lea,804.222,2413,0,1,0
Lindt,3553.863,3554,1,0,2
Carob Creations,943.183,943,2,2,2
Pink Lady,4063.084,8126,2,2,1
Kinder,3715.291,7431,0,0,1
Lindt,720.338,1441,1,1,1
Cadbury,2596.814,2597,0,1,2
Cadbury,2351.114,2351,1,0,2
Carob Creations,931.86,2796,1,1,0
Mars,359.595,360,2,2,2
Pink Lady,2209.893,6630,2,0,0
Darrell Lea,2110.079,6330,2,2,0
Mars,3766.657,3767,1,1,2
Ferrero,2554.077,7662,0,0,0
Mars,1227.983,1228,2,0,2
Kinder,3936.228,7872,2,1,1
Lindt,2993.689,8981,1,1,0
Pink Lady,1288.06,1288,2,1,2
Darrell Lea,3429.138,6858,0,2,1
Kinder,3484.371,10453,0,1,0
Cadbury,2253.095,4506,0,0,1
Darrell Lea,3994.885,3995,2,1,2
Ferrero,3891.095,3891,2,0,2
Ferrero,3382.503,10148,2,2,0
Kinder,566.649,1700,2,1,0
Lindt,2730.374,8191,1,0,0
Mars,2507.3,5015,0,0,1
Carob Creations,1410.408,1410,0,0,2
Lindt,2294.367,2294,1,1,2
Kinder,871.052,1742,2,1,1
Carob Creations,1423.989,1424,1,1,2
Kinder,3443.212,6886,0,2,1
Carob Creations,1816.899,1817,1,1,2
Pink Lady,1055.1,2110,0,2,1
Mars,2619.756,7859,2,0,0
Lindt,315.127,630,1,0,1
Carob Creations,2347.518,4695,2,0,1
Kinder,3014.793,6030,2,0,1
Carob Creations,2256.19,6769,2,0,0
Mars,1216.933,3651,2,0,0
Pink Lady,116.627,350,2,2,0
Carob Creations,3773.318,7547,0,1,1
Kinder,1111.531,2223,2,1,1
Kinder,3661.887,10986,1,2,0
Pink Lady,2369.939,7110,1,2,0
Cadbury,2253.491,2253,0,2,2
Mars,375.441,1126,0,1,0
Kinder,961.633,962,2,0,2
Cadbury,720.252,2161,1,1,0
Darrell Lea,3655.577,3656,2,1,2
Kinder,212.306,637,0,1,0
Lindt,1527.57,3055,2,2,1
Cadbury,2333.384,4667,0,0,1
Mars,1066.747,1067,0,2,2
Darrell Lea,129.97,130,2,1,2
Darrell Lea,2425.143,7275,0,2,0
Carob Creations,2337.403,7012,2,0,0
Cadbury,2430.067,4860,1,1,1
Ferrero,480.618,481,1,0,2
Darrell Lea,3449.842,3450,2,0,2
Lindt,1103.678,1104,2,0,2
Pink Lady,2147.941,2148,0,2,2
Ferrero,2576.295,7729,2,1,0
Carob Creations,1737.421,3475,0,2,1
Darrell Lea,362.562,725,1,1,1
Pink Lady,1041.24,2082,2,0,1
Mars,1804.634,5414,2,0,0
Darrell Lea,2044.824,4090,0,1,1
Darrell Lea,214.266,429,1,0,1
Pink Lady,2654.978,7965,2,1,0
Lindt,3024.369,3024,0,1,2
Mars,3425.457,6851,0,0,1
Pink Lady,2079.596,2080,0,2,2
Mars,124.371,373,2,2,0
Pink Lady,1062.72,3188,2,0,0
Kinder,2230.764,2231,1,0,2
Kinder,724.949,1450,1,2,1
Kinder,559.489,559,2,1,2
Kinder,2758.789,8276,0,2,0
Kinder,4044.543,4045,0,2,2
Darrell Lea,1312.106,3936,2,2,0
Carob Creations,3202.048,3202,2,2,2
Carob Creations,2376.221,4752,1,1,1
Kinder,602.486,1807,1,1,0
Pink Lady,3357.016,10071,0,1,0
Cadbury,112.405,225,1,0,1
Carob Creations,2534.471,5069,1,1,1
Carob Creations,3210.914,6422,1,2,1
Carob Creations,2189.066,4378,2,1,1
Mars,3931.181,3931,0,1,2
Pink Lady,3447.024,10341,0,2,0
Kinder,2604.584,5209,0,1,1
Pink Lady,2482.533,4965,1,0,1
Darrell Lea,160.555,161,0,0,2
Lindt,2936.353,2936,1,2,2
Carob Creations,1197.64,1198,2,1,2
Lindt,1383.925,1384,0,1,2
Kinder,2215.471,4431,1,1,1
Kinder,759.892,1520,2,0,1
Cadbury,1653.346,3307,0,0,1
Darrell Lea,948.24,948,1,1,2
Darrell Lea,3502.053,7004,0,0,1
Mars,1694.535,1695,1,1,2
Ferrero,1107.961,2216,1,1,1
Cadbury,1713.877,5142,1,0,0
Darrell Lea,2602.033,7806,1,2,0
Kinder,3321.97,9966,2,2,0
Pink Lady,2672.215,8017,1,0,0
Cadbury,258.558,517,1,0,1
Lindt,36.02,72,2,2,1
Lindt,874.396,2623,0,1,0
Darrell Lea,1121.001,3363,2,1,0
Carob Creations,243.21,730,2,0,0
Cadbury,1552.986,4659,2,1,0
Kinder,4098.684,8197,1,0,1
Carob Creations,3947.613,3948,0,2,2
Lindt,3471.521,3472,0,0,2
Darrell Lea,2262.797,2263,2,1,2
Carob Creations,688.809,689,1,1,2
Darrell Lea,701.305,2104,2,2,0
Cadbury,3754.015,7508,0,0,1
Ferrero,3141.695,6283,0,2,1
Kinder,218.236,218,2,0,2
Ferrero,1387.953,2776,1,1,1
Mars,1144.346,2289,2,2,1
Pink Lady,4156.227,12469,0,1,0
Kinder,3628.361,7257,1,1,1
Kinder,615.878,1232,2,1,1
Lindt,189.566,190,0,0,2
Cadbury,1117.154,3351,0,1,0
Ferrero,2794.144,2794,0,2,2
Ferrero,1583.022,1583,1,1,2
Kinder,2130.51,6392,2,0,0
Kinder,3156.49,9469,1,1,0
Carob Creations,1737.211,5212,0,2,0
Pink Lady,1513.932,1514,0,2,2
Darrell Lea,2674.047,5348,1,0,1
Mars,4057.937,4058,0,1,2
Mars,620.539,621,2,1,2
Mars,889.011,1778,2,1,1
Darrell Lea,2675.081,2675,1,0,2
Cadbury,2272.82,4546,2,1,1
Cadbury,2027.603,6083,0,0,0
Lindt,1284.339,1284,0,2,2
Lindt,2443.783,2444,2,0,2
Cadbury,2114.405,6343,2,1,0
Darrell Lea,2254.724,4509,0,0,1
Darrell Lea,2244.719,4489,0,2,1
Carob Creations,1694.226,5083,0,2,0
Darrell Lea,1976.668,3953,0,2,1
Darrell Lea,3928.506,3929,1,0,2
Pink Lady,3645.749,7291,1,2,1
Lindt,3057.571,6115,1,0,1
Carob Creations,1569.935,4710,2,2,0
Darrell Lea,1061.23,3184,0,1,0
Cadbury,1402.118,4206,2,2,0
Mars,855.948,1712,2,2,1
Pink Lady,667.734,668,1,1,2
Darrell Lea,1428.775,1429,1,1,2
Pink Lady,2153.069,4306,1,1,1
Mars,1088.047,2176,2,0,1
Cadbury,2552.771,2553,2,0,2
Darrell Lea,138.697,416,0,2,0
Ferrero,376.964,1131,0,2,0
Mars,2154.392,4309,0,2,1
Darrell Lea,12.115,24,0,1,1
Cadbury,1394.937,2790,2,1,1
Lindt,2321.674,4643,1,2,1
Pink Lady,888.18,1776,1,1,1
Carob Creations,3535.332,7071,0,2,1
Ferrero,539.746,1619,1,2,0
Lindt,3516.703,3517,0,1,2
Carob Creations,4016.684,4017,0,0,2
Cadbury,2321.145,6963,0,1,0
Darrell Lea,57.439,172,2,1,0
Mars,2620.835,2621,1,1,2
Ferrero,1079.873,1080,0,1,2
Lindt,479.495,959,1,0,1
Lindt,396.058,792,0,0,1
Lindt,1126.09,1126,1,2,2
Carob Creations,1488.644,1489,1,1,2
Ferrero,1468.987,4407,1,2,0
Cadbury,2671.385,5343,0,2,1
Ferrero,3258.431,6517,1,0,1
Kinder,1939.888,3880,0,0,1
Cadbury,2802.684,8408,0,2,0
Cadbury,1440.598,2881,0,1,1
Cadbury,1107.689,2215,2,2,1
Carob Creations,65.017,65,2,0,2
Lindt,475.23,950,1,1,1
Cadbury,400.853,802,0,0,1
Lindt,2780.805,5562,0,1,1
Kinder,4149.689,4150,0,2,2
Lindt,319.727,959,0,0,0
Cadbury,2054.678,6164,2,0,0
Ferrero,103.579,104,0,1,2
Kinder,2571.45,2571,1,2,2
Ferrero,1153.919,3462,2,1,0
Cadbury,1153.206,3460,1,0,0
Carob Creations,2147.934,2148,2,0,2
Mars,2257.176,4514,2,1,1
Pink Lady,3234.873,6470,1,1,1
Darrell Lea,747.706,1495,2,0,1
Ferrero,763.038,2289,0,2,0
Kinder,2288.923,2289,2,0,2
Carob Creations,3549.419,10648,2,2,0
Mars,704.627,2114,0,2,0
Carob Creations,907.964,1816,1,1,1
Carob Creations,1593.258,4780,1,1,0
Kinder,2827.892,8484,0,1,0
Kinder,1532.35,3065,2,0,1
Kinder,30.331,91,1,2,0
Ferrero,3647.211,3647,1,2,2
Carob Creations,378.138,756,0,1,1
Cadbury,3624.715,7249,2,1,1
Pink Lady,1774.658,1775,0,0,2
Kinder,1917.429,5752,0,2,0
Cadbury,160.966,322,2,2,1
Mars,3600.58,10802,0,2,0
Lindt,1241.49,1241,1,0,2
Cadbury,4045.178,4045,0,1,2
Carob Creations,3249.633,9749,0,0,0
Kinder,2528.006,2528,0,1,2
Cadbury,1450.216,2900,0,1,1
Kinder,3572.274,7145,1,1,1
Kinder,8.797,18,1,1,1
Lindt,2533.999,7602,1,0,0
Ferrero,1398.478,4195,1,2,0
Darrell Lea,802.743,2408,0,2,0
Ferrero,3132.281,9397,0,1,0
Mars,137.019,274,1,2,1
Ferrero,3268.208,3268,2,1,2
Mars,21.2,42,0,1,1
Pink Lady,1753.627,3507,1,1,1
Ferrero,2517.203,5034,0,2,1
Mars,2750.484,5501,2,2,1
Ferrero,3309.584,6619,2,2,1
Kinder,1415.59,4247,1,2,0
Darrell Lea,1260.558,3782,2,1,0
Cadbury,687.429,687,2,0,2
Mars,3880.157,11640,0,0,0
Darrell Lea,1469.512,4409,1,2,0
Ferrero,1805.835,1806,2,0,2
Carob Creations,2797.05,8391,2,0,0
Mars,364.329,729,1,1,1
Pink Lady,2012.952,4026,0,1,1
Lindt,2852.744,8558,1,0,0
Mars,829.581,2489,1,1,0
